 word=မေႃ, f=1842
 word=ပွင်, f=1820
 word=မၢၼ်ႈ, f=1813
 word=ပိုၼ်း, f=1786
 word=လၢင်း, f=1784
 word=ပြ, f=1778
 word=သီႇ, f=1773
 word=ၸ, f=1759
 word=တႃး, f=1757
 word=တီး, f=1753
 word=ဝၢႆး, f=1752
 word=ဢွၼ်ႁူဝ်, f=1747
 word=တွင်ႇ, f=1747
 word=ပၵ်း, f=1737
 word=ၶၢဝ်း, f=1711
 word=တိုၵ်း, f=1706
 word=သူ, f=1679
 word=တမ်ႈတီႈ, f=1678
 word=ၸိုင်ႈ, f=1645
 word=တေႃး, f=1639
 word=ၶႄႇ, f=1633
 word=ႁႅင်း, f=1629
 word=ၸႂ်, f=1619
 word=ၵိၼ်, f=1611
 word=ထူၼ်ႈ, f=1574
 word=ပိူဝ်ႈ, f=1564
 word=ယႃး, f=1564
 word=သႂ်ႇ, f=1563
 word=ၸိၼ, f=1547
 word=ၼႃႈ, f=1546
 word=ၼႃႇ, f=1545
 word=ဢွၵ်ႇထူဝ်ႇပႃႇ, f=1528
 word=တၢင်ႇ, f=1524
 word=သၢႆ, f=1522
 word=ဢွၼ်ႇ, f=1508
 word=လွႆ, f=1486
 word=ၶူဝ်း, f=1485
 word=သၢမ်, f=1474
 word=ပွႆႇ, f=1465
 word=တူၵ်း, f=1463
 word=ၸၢၼ်း, f=1460
 word=ႁွင်ႇ, f=1453
 word=သူၺ်, f=1444
 word=ၶႂ်ႈ, f=1440
 word=ၼ, f=1439
 word=ယၢမ်း, f=1434
 word=ႁဵၼ်း, f=1420
 word=ထိ, f=1411
 word=ဢႃႇ, f=1399
 word=သ, f=1392
 word=သူင်ႇ, f=1384
 word=သၢင်ႈ, f=1380
 word=ဢွင်ႇ, f=1372
 word=ၸွမ်, f=1372
 word=ႁႃ, f=1359
 word=တြႃး, f=1334
 word=မႄႈ, f=1332
 word=ၵႃႈ, f=1324
 word=လႂ်, f=1313
 word=ပႅတ်ႈ, f=1304
 word=ၼွင်, f=1301
 word=လူင်း, f=1300
 word=ႁိမ်း, f=1288
 word=လူဝ်ႇ, f=1288
 word=ၼႆသေ, f=1277
 word=ၶဝ်ႈပႃး, f=1276
 word=ပႆႇ, f=1267
 word=ႁွင်ႉ, f=1266
 word=ၼႃး, f=1266
 word=ၼီ, f=1254
 word=မႂ်ႇ, f=1242
 word=ပလ, f=1238
 word=သုင်, f=1229
 word=ၵုင်ႈ, f=1224
 word=ၵမ်း, f=1222
 word=လေ, f=1221
 word=ၸိုင်ႈမိူင်း, f=1219
 word=ၵွင်းမူး, f=1214
 word=ပွၵ်ႈ, f=1202
 word=ဢူ, f=1196
 word=တၢႆ, f=1193
 word=ၽီ, f=1193
 word=ၸူး, f=1190
 word=ၵေႃ, f=1188
 word=တႂ်ႈ, f=1180
 word=လုၵ်ႈ, f=1179
 word=ၶီႇ, f=1178
 word=တိုၵ်ႉ, f=1177
 word=ၸိုင်, f=1174
 word=မိၼ်း, f=1167
 word=လိၼ်, f=1154
 word=ဝ, f=1152
 word=လိူဝ်, f=1149
 word=လ, f=1149
 word=သိူဝ်, f=1144
 word=ပျေႃႇ, f=1143
 word=မႂ်း, f=1130
 word=ၺႃ, f=1129
 word=သေတႃႉ, f=1124
 word=ယၢမ်းလဵဝ်, f=1116
 word=လေး, f=1113
 word=ႁွင်ႉဝႃႈ, f=1098
 word=ၽႅဝ်, f=1086
 word=ၵိူဝ်း, f=1085
 word=ပိ, f=1085
 word=ၶွင်, f=1081
 word=ပွင်ႇ, f=1076
 word=ၵဝ်, f=1076
 word=လဵဝ်, f=1069
 word=ၵျွၵ်ႉပ, f=1068
 word=ၸၢတ်ႈ, f=1065
 word=ဢၼ်ၼႆႉ, f=1053
 word=သဵင်, f=1046
 word=ၸိူင်ႉ, f=1045
 word=တူၼ်ႈ, f=1039
 word=မိူၼ်, f=1032
 word=ၵမ်, f=1031
 word=ၸဝ်ႈၵဝ်ႇ, f=1025
